"","date","temp_mean","HR_mean","total","cvd","resp","dow","pm10_mean.mean","X","holidays","year","males","females","RETI_65.79","RETII_.80","females_RETI_65.79","males_RETI_65.79","females_RETII_.80","males_RETII_.80","white","colored","males_white","males_colored","females_white","females_colored","RETI_65.79_white","RETII_.80_white","RETI_65.79_colored","RETII_.80_colored"
"116",2000-04-25,13.8888888888889,38.75,102,48,6,"Sunday",50.956073733,NA,"0",2000,46,56,15,5,8,7,3,2,87,12,39,6,48,7,13,4,2,1
"117",2000-04-26,13.6111111111111,42.875,107,57,7,"Monday",34.1289016,NA,"0",2000,48,59,16,5,9,7,3,2,91,13,41,6,50,7,14,5,2,1
"118",2000-04-27,11.9444444444444,28.875,118,61,4,"Tuesday",64.956073733,NA,"0",2000,53,65,18,6,10,8,3,3,100,14,45,6,55,8,15,5,2,1
"119",2000-04-28,18.0555555555556,47.5,110,51,9,"Wednesday",53.956073733,NA,"0",2000,50,61,16,6,9,7,3,2,94,13,42,6,51,7,14,5,2,1
"120",2000-04-29,7.77777777777778,31.25,101,52,6,"Thursday",11.956073737,NA,"0",2000,45,56,15,5,8,7,3,2,86,12,39,5,47,7,13,4,2,1
"121",2000-04-30,11.9444444444444,54.5,117,56,5,"Friday",58.956073733,NA,"0",2000,53,64,18,6,10,8,3,3,99,14,45,6,55,8,15,5,2,1
"122",2000-05-01,11.6666666666667,87.25,123,61,11,"Saturday",22.956073737,6,"1",2000,55,68,18,6,10,8,3,3,105,15,47,7,58,8,16,5,2,1
"123",2000-05-02,7.22222222222222,71.5,110,56,6,"Sunday",18.007662927,NA,"0",2000,50,61,16,6,9,7,3,2,94,13,42,6,51,7,14,5,2,1
"124",2000-05-03,8.88888888888889,47.75,108,60,7,"Monday",18.956073737,NA,"0",2000,49,59,16,5,9,7,3,2,92,13,41,6,50,7,14,5,2,1
"125",2000-05-04,10.2777777777778,53.625,134,67,11,"Tuesday",52.956073733,NA,"0",2000,60,74,20,7,11,9,4,3,114,16,51,7,63,9,17,6,2,1
"126",2000-05-05,14.4444444444444,39.625,131,64,9,"Wednesday",NA,NA,"0",2000,59,72,20,7,11,9,4,3,111,16,50,7,61,9,17,6,2,1
"127",2000-05-06,15.2777777777778,51.25,126,67,9,"Thursday",33.956073733,NA,"0",2000,57,69,19,6,10,9,3,3,107,15,48,7,59,8,16,5,2,1
"128",2000-05-07,15,32.25,108,43,7,"Friday",46.956073733,NA,"0",2000,49,59,16,5,9,7,3,2,92,13,41,6,50,7,14,5,2,1
"129",2000-05-08,20.8333333333333,31.875,112,56,6,"Saturday",55.14429347,NA,"0",2000,50,62,17,6,9,8,3,3,95,13,43,6,52,7,14,5,2,1
"130",2000-05-09,23.6111111111111,41.375,116,57,8,"Sunday",NA,NA,"0",2000,52,64,17,6,10,8,3,3,99,14,44,6,54,8,15,5,2,1
"131",2000-05-10,21.6666666666667,72.75,131,59,16,"Monday",73.956073733,NA,"0",2000,59,72,20,7,11,9,4,3,111,16,50,7,61,9,17,6,2,1
"132",2000-05-11,10.8333333333333,54.25,123,63,2,"Tuesday",4.956073737,NA,"0",2000,55,68,18,6,10,8,3,3,105,15,47,7,58,8,16,5,2,1
"133",2000-05-12,15,57.125,104,57,7,"Wednesday",12.956073737,NA,"0",2000,47,57,16,5,9,7,3,2,88,12,40,6,49,7,13,4,2,1
"134",2000-05-13,20.5555555555556,59.25,123,65,13,"Thursday",NA,NA,"0",2000,55,68,18,6,10,8,3,3,105,15,47,7,58,8,16,5,2,1
"135",2000-05-14,13.6111111111111,44.375,105,42,9,"Friday",19.474014777,NA,"0",2000,47,58,16,5,9,7,3,2,89,13,40,6,49,7,13,4,2,1
"136",2000-05-15,16.9444444444444,35.125,108,43,11,"Saturday",39.9560737332,NA,"0",2000,49,59,16,5,9,7,3,2,92,13,41,6,50,7,14,5,2,1
"137",2000-05-16,21.3888888888889,66,123,53,8,"Sunday",55.956073733,NA,"0",2000,55,68,18,6,10,8,3,3,105,15,47,7,58,8,16,5,2,1
"138",2000-05-17,19.1666666666667,94.5,134,62,12,"Monday",NA,NA,"0",2000,60,74,20,7,11,9,4,3,114,16,51,7,63,9,17,6,2,1
"139",2000-05-18,19.7222222222222,85.625,101,48,12,"Tuesday",34.9560737332,NA,"0",2000,45,56,15,5,8,7,3,2,86,12,39,5,47,7,13,4,2,1
"140",2000-05-19,19.1666666666667,88.125,114,55,7,"Wednesday",39.9560737332,NA,"0",2000,51,63,17,6,9,8,3,3,97,14,44,6,53,8,15,5,2,1
"141",2000-05-20,23.3333333333333,61,125,59,4,"Thursday",42.5482194246,NA,"0",2000,56,69,19,6,10,8,3,3,106,15,48,7,58,8,16,5,2,1
"142",2000-05-21,16.3888888888889,76.25,111,52,8,"Friday",NA,NA,"0",2000,50,61,17,6,9,7,3,2,94,13,42,6,52,7,14,5,2,1
"143",2000-05-22,10.5555555555556,86.875,107,54,3,"Saturday",5.956073737,NA,"0",2000,48,59,16,5,9,7,3,2,91,13,41,6,50,7,14,5,2,1
"144",2000-05-23,10.2777777777778,81,105,58,7,"Sunday",NA,NA,"0",2000,47,58,16,5,9,7,3,2,89,13,40,6,49,7,13,4,2,1
"145",2000-05-24,14.1666666666667,95.375,115,52,17,"Monday",42.9560737332,NA,"0",2000,52,63,17,6,9,8,3,3,98,14,44,6,54,8,15,5,2,1
"146",2000-05-25,22.7777777777778,68.625,106,52,6,"Tuesday",20.956073737,NA,"0",2000,48,58,16,5,9,7,3,2,90,13,41,6,50,7,14,5,2,1
"147",2000-05-26,25.8333333333333,68.625,113,57,12,"Wednesday",39.6152191948,NA,"0",2000,51,62,17,6,9,8,3,3,96,14,43,6,53,7,14,5,2,1
"148",2000-05-27,25.8333333333333,67.625,104,44,8,"Thursday",41.9560737332,NA,"0",2000,47,57,16,5,9,7,3,2,88,12,40,6,49,7,13,4,2,1
"149",2000-05-28,25.8333333333333,71.125,106,54,7,"Friday",42.9560737332,NA,"0",2000,48,58,16,5,9,7,3,2,90,13,41,6,50,7,14,5,2,1
"150",2000-05-29,24.4444444444444,79.5,115,62,10,"Saturday",27.956073733,NA,"0",2000,52,63,17,6,9,8,3,3,98,14,44,6,54,8,15,5,2,1
"151",2000-05-30,24.4444444444444,57.75,102,54,4,"Sunday",24.956073733,NA,"0",2000,46,56,15,5,8,7,3,2,87,12,39,6,48,7,13,4,2,1
"152",2000-05-31,23.6111111111111,71.875,112,60,5,"Monday",22.956073737,NA,"0",2000,50,62,17,6,9,8,3,3,95,13,43,6,52,7,14,5,2,1
"153",2000-06-01,22.2222222222222,95.25,111,57,7,"Tuesday",31.31339216,NA,"0",2000,50,61,17,6,9,7,3,2,94,13,42,6,52,7,14,5,2,1
"154",2000-06-02,20.5555555555556,47.125,120,59,9,"Wednesday",34.9560737332,NA,"0",2000,54,66,18,6,10,8,3,3,102,14,46,6,56,8,15,5,2,1
"155",2000-06-03,17.2222222222222,49.125,103,50,14,"Thursday",37.9560737332,NA,"0",2000,46,57,15,5,8,7,3,2,88,12,39,6,48,7,13,4,2,1
"156",2000-06-04,21.1111111111111,61.625,98,43,8,"Friday",53.956073733,NA,"0",2000,44,54,15,5,8,7,3,2,83,12,37,5,46,6,12,4,2,1
"157",2000-06-05,21.6666666666667,48.5,101,46,8,"Saturday",49.956073733,NA,"0",2000,45,56,15,5,8,7,3,2,86,12,39,5,47,7,13,4,2,1
"158",2000-06-06,25.2777777777778,45.75,102,45,8,"Sunday",38.9560737332,NA,"0",2000,46,56,15,5,8,7,3,2,87,12,39,6,48,7,13,4,2,1
"159",2000-06-07,23.6111111111111,76.75,143,74,8,"Monday",47.381552758,NA,"0",2000,64,79,21,7,12,10,4,3,122,17,55,8,67,9,18,6,3,1
"160",2000-06-08,14.1666666666667,56.5,88,30,7,"Tuesday",7.956073737,NA,"0",2000,40,48,13,4,7,6,2,2,75,11,34,5,41,6,11,4,2,1
"161",2000-06-09,16.1111111111111,55.125,106,57,3,"Wednesday",42.9560737332,NA,"0",2000,48,58,16,5,9,7,3,2,90,13,41,6,50,7,14,5,2,1
