,date,temp_mean,HR_mean,nonext,cvd,resp,dow,pm10_mean.mean,holidays
78,18/03/2000,5.277777778,59.375,121,56,10,Thursday,24.95607373,0
79,19/03/2000,6.111111111,40.125,127,64,5,Friday,20.95607374,0
80,20/03/2000,6.388888889,37,120,46,13,Saturday,32.95607373,0
81,21/03/2000,8.888888889,53.375,100,53,6,Sunday,35.83169065,0
82,22/03/2000,11.94444444,41.625,125,63,6,Monday,62.95607373,0
83,23/03/2000,14.16666667,75,132,73,5,Tuesday,50.95607373,0
84,24/03/2000,7.222222222,90.125,134,67,9,Wednesday,6.956073737,0
85,25/03/2000,7.222222222,86.625,107,63,6,Thursday,35.95607373,0
86,26/03/2000,6.111111111,78.875,102,57,6,Friday,39.95607373,0
87,27/03/2000,7.777777778,76.75,128,68,2,Saturday,31.62733762,0
88,28/03/2000,4.166666667,89.75,101,43,5,Sunday,29.95607373,0
89,29/03/2000,-1.666666667,52.75,125,66,13,Monday,19.95607374,0
90,30/03/2000,-1.111111111,49.625,106,53,3,Tuesday,35.95607373,0
91,31/03/2000,5.277777778,58.125,119,57,7,Wednesday,28.95607373,0
92,01/04/2000,-1.388888889,54.5,91,48,9,Thursday,36.95607373,0
93,02/04/2000,-2.222222222,58,120,53,9,Friday,19.00942282,0
94,03/04/2000,1.944444444,37.875,123,54,7,Saturday,18.95607374,0
95,04/04/2000,6.388888889,63.625,108,58,5,Sunday,10.95607374,0
96,05/04/2000,10,30.375,117,56,10,Monday,11.95607374,0
97,06/04/2000,9.722222222,53.25,134,53,15,Tuesday,20.95607374,0
98,07/04/2000,4.444444444,74.25,120,61,6,Wednesday,11.95607374,0
99,08/04/2000,10,31.25,120,55,8,Thursday,76.34865035,0
100,09/04/2000,15.27777778,76.25,110,54,7,Friday,61.95607373,0
101,10/04/2000,10.55555556,95,111,48,8,Saturday,16.95607374,0
102,11/04/2000,9.722222222,78.625,129,60,19,Sunday,29.95607373,0
103,12/04/2000,8.888888889,76,93,53,8,Monday,39.95607373,0
104,13/04/2000,11.38888889,96,140,79,7,Tuesday,25.95607373,0
105,14/04/2000,10.83333333,96.875,106,54,11,Wednesday,29.39515317,0
106,15/04/2000,12.22222222,85.75,110,51,7,Thursday,19.25775155,0
107,16/04/2000,14.16666667,62.75,115,64,13,Friday,35.95607373,0
108,17/04/2000,16.38888889,53,106,57,7,Saturday,98.95607373,0
109,18/04/2000,17.77777778,57,105,47,9,Sunday,NA,0
110,19/04/2000,21.66666667,45.625,120,57,9,Monday,47.95607373,0
111,20/04/2000,13.33333333,83.375,97,44,10,Tuesday,34.51464215,0
112,21/04/2000,8.333333333,100,136,73,7,Wednesday,20.95607374,1
113,22/04/2000,11.11111111,86.875,112,58,4,Thursday,18.95607374,0
114,23/04/2000,9.444444444,51.875,108,43,10,Friday,8.956073737,1
115,24/04/2000,10.55555556,43.5,130,61,7,Saturday,22.95607374,0
116,25/04/2000,13.88888889,38.75,102,48,6,Sunday,50.95607373,0
117,26/04/2000,13.61111111,42.875,107,57,7,Monday,34.1289016,0
118,27/04/2000,11.94444444,28.875,118,61,4,Tuesday,64.95607373,0
119,28/04/2000,18.05555556,47.5,110,51,9,Wednesday,53.95607373,0
120,29/04/2000,7.777777778,31.25,101,52,6,Thursday,11.95607374,0
121,30/04/2000,11.94444444,54.5,117,56,5,Friday,58.95607373,0
122,01/05/2000,11.66666667,87.25,123,61,11,Saturday,22.95607374,1
123,02/05/2000,7.222222222,71.5,110,56,6,Sunday,18.00766293,0
124,03/05/2000,8.888888889,47.75,108,60,7,Monday,18.95607374,0
125,04/05/2000,10.27777778,53.625,134,67,11,Tuesday,52.95607373,0
126,05/05/2000,14.44444444,39.625,131,64,9,Wednesday,NA,0
127,06/05/2000,15.27777778,51.25,126,67,9,Thursday,33.95607373,0
128,07/05/2000,15,32.25,108,43,7,Friday,46.95607373,0
129,08/05/2000,20.83333333,31.875,112,56,6,Saturday,55.14429347,0
130,09/05/2000,23.61111111,41.375,116,57,8,Sunday,NA,0
131,10/05/2000,21.66666667,72.75,131,59,16,Monday,73.95607373,0
132,11/05/2000,10.83333333,54.25,123,63,2,Tuesday,4.956073737,0
133,12/05/2000,15,57.125,104,57,7,Wednesday,12.95607374,0
134,13/05/2000,20.55555556,59.25,123,65,13,Thursday,NA,0
135,14/05/2000,13.61111111,44.375,105,42,9,Friday,19.47401478,0
136,15/05/2000,16.94444444,35.125,108,43,11,Saturday,39.95607373,0
137,16/05/2000,21.38888889,66,123,53,8,Sunday,55.95607373,0
138,17/05/2000,19.16666667,94.5,134,62,12,Monday,NA,0
139,18/05/2000,19.72222222,85.625,101,48,12,Tuesday,34.95607373,0
140,19/05/2000,19.16666667,88.125,114,55,7,Wednesday,39.95607373,0
141,20/05/2000,23.33333333,61,125,59,4,Thursday,42.54821942,0
142,21/05/2000,16.38888889,76.25,111,52,8,Friday,NA,0
143,22/05/2000,10.55555556,86.875,107,54,3,Saturday,5.956073737,0
144,23/05/2000,10.27777778,81,105,58,7,Sunday,NA,0
145,24/05/2000,14.16666667,95.375,115,52,17,Monday,42.95607373,0
146,25/05/2000,22.77777778,68.625,106,52,6,Tuesday,20.95607374,0
147,26/05/2000,25.83333333,68.625,113,57,12,Wednesday,39.61521919,0
148,27/05/2000,25.83333333,67.625,104,44,8,Thursday,41.95607373,0
149,28/05/2000,25.83333333,71.125,106,54,7,Friday,42.95607373,0
150,29/05/2000,24.44444444,79.5,115,62,10,Saturday,27.95607373,0
151,30/05/2000,24.44444444,57.75,102,54,4,Sunday,24.95607373,0
152,31/05/2000,23.61111111,71.875,112,60,5,Monday,22.95607374,0
153,01/06/2000,22.22222222,95.25,111,57,7,Tuesday,31.31339216,0
154,02/06/2000,20.55555556,47.125,120,59,9,Wednesday,34.95607373,0
155,03/06/2000,17.22222222,49.125,103,50,14,Thursday,37.95607373,0
156,04/06/2000,21.11111111,61.625,98,43,8,Friday,53.95607373,0
157,05/06/2000,21.66666667,48.5,101,46,8,Saturday,49.95607373,0
158,06/06/2000,25.27777778,45.75,102,45,8,Sunday,38.95607373,0
159,07/06/2000,23.61111111,76.75,143,74,8,Monday,47.38155276,0
160,08/06/2000,14.16666667,56.5,88,30,7,Tuesday,7.956073737,0
161,09/06/2000,16.11111111,55.125,106,57,3,Wednesday,42.95607373,0
162,10/06/2000,22.5,90.375,96,45,3,Thursday,38.95607373,0
163,11/06/2000,26.66666667,54.125,117,58,13,Friday,33.95607373,0
164,12/06/2000,25,50.25,97,49,6,Saturday,65.95607373,0
165,13/06/2000,28.33333333,54.125,146,63,11,Sunday,40.56523337,0
166,14/06/2000,23.05555556,44.625,120,56,14,Monday,20.95607374,0
167,15/06/2000,23.88888889,47.5,109,49,6,Tuesday,38.95607373,0
168,16/06/2000,25,48,112,59,11,Wednesday,63.95607373,0
169,17/06/2000,26.94444444,47.5,132,69,12,Thursday,82.95607373,0
170,18/06/2000,25.27777778,48.625,106,55,4,Friday,72.95607373,0
171,19/06/2000,25,99.625,122,51,8,Saturday,57.23190003,0
172,20/06/2000,24.44444444,82.625,112,51,6,Sunday,34.95607373,0
173,21/06/2000,19.44444444,72.25,117,58,3,Monday,44.95607373,0
174,22/06/2000,22.5,56.625,100,45,7,Tuesday,41.95607373,1
175,23/06/2000,24.44444444,60,108,48,11,Wednesday,55.95607373,0
176,24/06/2000,21.38888889,76.25,126,62,7,Thursday,45.95607373,0
177,25/06/2000,20.55555556,51.375,105,49,5,Friday,27.59626623,0
178,26/06/2000,18.05555556,54.375,111,55,7,Saturday,28.95607373,0
179,27/06/2000,22.22222222,44.625,122,51,5,Sunday,26.95607373,0
180,28/06/2000,22.5,84.375,108,53,6,Monday,35.95607373,0
181,29/06/2000,21.38888889,81.875,106,47,11,Tuesday,35.95607373,0
182,30/06/2000,20.27777778,74.25,104,54,6,Wednesday,14.95607374,0
183,01/07/2000,21.66666667,57.625,120,59,10,Thursday,41.69230809,0
184,02/07/2000,25.27777778,61.25,112,47,6,Friday,40.95607373,0
185,03/07/2000,22.5,65.25,101,45,4,Saturday,16.95607374,0
186,04/07/2000,22.5,91.625,114,58,3,Sunday,NA,0
187,05/07/2000,26.66666667,64,113,57,8,Monday,25.93102111,0
188,06/07/2000,26.66666667,64.75,119,58,7,Tuesday,NA,0
189,07/07/2000,26.94444444,59.625,126,61,7,Wednesday,36.12167688,0
190,08/07/2000,26.94444444,80.375,108,47,7,Thursday,23.8033517,0
191,09/07/2000,26.66666667,87,95,50,6,Friday,25.65051258,1
192,10/07/2000,26.66666667,65.125,125,59,10,Saturday,71.58846396,0
193,11/07/2000,26.38888889,67.25,119,61,9,Sunday,39.59476192,0
194,12/07/2000,18.05555556,79.5,77,33,3,Monday,25.54381554,0
195,13/07/2000,19.44444444,58.375,113,64,4,Tuesday,19.94675805,0
196,14/07/2000,17.22222222,77.5,110,53,6,Wednesday,9.498862864,0
197,15/07/2000,18.61111111,60.375,108,53,12,Thursday,19.21134724,0
198,16/07/2000,25.55555556,59,102,46,5,Friday,31.53157813,0
199,17/07/2000,26.38888889,61.375,110,52,8,Saturday,43.52850454,0
200,18/07/2000,29.16666667,64,129,60,7,Sunday,64.57601114,0
201,19/07/2000,27.5,75.625,140,67,7,Monday,63.23613183,0
202,20/07/2000,27.22222222,68.75,105,57,7,Tuesday,50.54648561,0
203,21/07/2000,26.94444444,63.125,110,59,8,Wednesday,90.55914237,0
204,22/07/2000,27.77777778,61.25,121,57,12,Thursday,109.5497102,0
205,23/07/2000,28.33333333,64.75,110,65,8,Friday,73.19574124,0
206,24/07/2000,29.16666667,66.5,115,65,9,Saturday,45.67363784,0
207,25/07/2000,25.83333333,82.125,105,60,3,Sunday,28.61509942,0
208,26/07/2000,21.66666667,68.125,112,56,10,Monday,24.73232135,0
209,27/07/2000,22.5,65.125,109,63,3,Tuesday,31.30575702,0
210,28/07/2000,25.55555556,80,125,56,13,Wednesday,17.76402906,0
211,29/07/2000,26.38888889,74.375,92,50,5,Thursday,67.84088432,0
212,30/07/2000,26.94444444,80.5,110,44,7,Friday,40.83490947,0
213,31/07/2000,30.55555556,64,113,41,10,Saturday,55.31193451,0
214,01/08/2000,30,73.5,115,57,10,Sunday,38.92453212,0
215,02/08/2000,28.33333333,64.875,137,65,11,Monday,47.00923816,0
216,03/08/2000,23.88888889,69.25,112,52,12,Tuesday,14.0213487,0
217,04/08/2000,22.22222222,59.625,126,56,13,Wednesday,8.107946783,0
218,05/08/2000,22.22222222,58,111,54,5,Thursday,43.07518816,0
219,06/08/2000,26.38888889,66.625,95,37,7,Friday,49.09647603,0
220,07/08/2000,23.05555556,96.25,113,59,2,Saturday,49.24493738,0
221,08/08/2000,22.5,78,107,59,4,Sunday,22.28067405,0
222,09/08/2000,21.66666667,75.25,96,46,5,Monday,17.33985802,0
223,10/08/2000,23.61111111,65.125,98,44,8,Tuesday,34.34622902,0
224,11/08/2000,24.44444444,66,83,36,7,Wednesday,73.34622902,0
225,12/08/2000,24.16666667,78.375,121,56,4,Thursday,63.01544113,0
226,13/08/2000,23.33333333,82.375,107,50,8,Friday,44.24589798,0
227,14/08/2000,26.38888889,76.75,115,47,10,Saturday,34.61935402,0
228,15/08/2000,26.66666667,80.375,125,63,11,Sunday,36.26105974,0
229,16/08/2000,23.05555556,65.75,120,59,9,Monday,32.51284897,0
230,17/08/2000,20.83333333,79.125,102,42,4,Tuesday,41.45310055,0
231,18/08/2000,21.11111111,64,102,49,5,Wednesday,28.96710116,0
232,19/08/2000,21.11111111,57,118,51,8,Thursday,42.23800621,0
233,20/08/2000,24.44444444,70.75,118,51,8,Friday,36.15435841,0
234,21/08/2000,21.94444444,70.75,107,52,8,Saturday,25.1567182,0
235,22/08/2000,17.22222222,61.75,107,54,8,Sunday,17.24818186,0
236,23/08/2000,16.38888889,65.75,133,56,11,Monday,36.31689255,0
237,24/08/2000,15,98.75,107,53,10,Tuesday,34.52592143,0
238,25/08/2000,16.66666667,97,96,45,6,Wednesday,43.28104349,0
239,26/08/2000,17.5,95.375,103,48,6,Thursday,13.30214392,0
240,27/08/2000,17.5,82.125,117,56,10,Friday,25.31451719,0
241,28/08/2000,18.61111111,67.625,100,53,10,Saturday,NA,0
242,29/08/2000,22.22222222,74.375,125,55,13,Sunday,28.28416,0
243,30/08/2000,16.66666667,58.625,113,61,10,Monday,23.3425923,0
244,31/08/2000,17.77777778,48.5,112,60,12,Tuesday,30.42171112,0
245,01/09/2000,16.38888889,70.375,107,52,13,Wednesday,10.25718839,0
246,02/09/2000,15.83333333,62.875,122,58,6,Thursday,17.27851518,0
247,03/09/2000,20.55555556,61.875,115,54,8,Friday,NA,0
248,04/09/2000,22.77777778,57.25,104,53,7,Saturday,NA,0
249,05/09/2000,23.88888889,77.25,118,59,4,Sunday,61.07543339,0
250,06/09/2000,21.38888889,88.875,137,62,9,Monday,NA,0
251,07/09/2000,22.22222222,78.375,117,50,8,Tuesday,NA,1
252,08/09/2000,20.27777778,68.625,104,50,8,Wednesday,NA,0
253,09/09/2000,19.72222222,67.375,105,51,7,Thursday,NA,0
254,10/09/2000,20.55555556,61.375,109,48,8,Friday,NA,0
255,11/09/2000,20,64.25,121,48,15,Saturday,28.40050736,0
256,12/09/2000,15,71.125,108,51,9,Sunday,NA,0
257,13/09/2000,16.38888889,70.625,114,61,5,Monday,NA,0
258,14/09/2000,22.22222222,79.75,108,45,11,Tuesday,NA,0
259,15/09/2000,20.55555556,89.25,111,56,16,Wednesday,26.67089366,0
260,16/09/2000,19.72222222,91.625,110,59,7,Thursday,23.73908773,0
261,17/09/2000,17.5,94.125,107,49,8,Friday,24.16091139,0
262,18/09/2000,16.11111111,78,107,57,8,Saturday,NA,0
263,19/09/2000,13.88888889,86,108,49,8,Sunday,NA,0
264,20/09/2000,13.05555556,91.25,139,74,9,Monday,22.8116353,0
265,21/09/2000,16.11111111,85.375,130,59,10,Tuesday,NA,0
266,22/09/2000,17.22222222,60,111,61,10,Wednesday,31.88080075,0
267,23/09/2000,15.27777778,71.5,112,64,6,Thursday,21.67413088,0
268,24/09/2000,13.61111111,61.75,106,60,9,Friday,48.82009788,0
269,25/09/2000,18.33333333,49,127,56,8,Saturday,35.78367615,0
270,26/09/2000,24.16666667,52.375,110,44,13,Sunday,42.69914667,0
271,27/09/2000,20.55555556,78.875,120,60,7,Monday,50.73620016,0
272,28/09/2000,16.38888889,73.375,115,60,8,Tuesday,27.73012987,0
273,29/09/2000,12.77777778,56.75,120,61,12,Wednesday,23.98820938,0
274,30/09/2000,13.05555556,47.75,117,59,9,Thursday,37.7392353,0
275,01/10/2000,8.333333333,63.25,128,66,8,Friday,45.78172731,0
276,02/10/2000,5.833333333,62.875,115,38,7,Saturday,45.78901586,0
277,03/10/2000,11.11111111,33.375,123,56,5,Sunday,43.73227045,0
278,04/10/2000,15.55555556,51.125,118,54,10,Monday,41.66354195,0
279,05/10/2000,7.5,84,137,70,10,Tuesday,20.93849935,0
280,06/10/2000,4.166666667,60.5,134,64,12,Wednesday,29.62395862,0
281,07/10/2000,5.277777778,37.75,134,58,6,Thursday,34.58437528,0
282,08/10/2000,11.94444444,48.125,115,52,6,Friday,31.68686247,0
283,09/10/2000,5.833333333,73.75,103,41,18,Saturday,21.70837482,0
284,10/10/2000,3.888888889,66.375,106,47,5,Sunday,25.67488123,0
285,11/10/2000,5.833333333,56.25,123,59,2,Monday,40.61562217,0
286,12/10/2000,9.722222222,45.125,116,51,15,Tuesday,NA,1
287,13/10/2000,13.05555556,45.375,120,59,6,Wednesday,34.69761497,0
288,14/10/2000,17.22222222,37.25,130,62,8,Thursday,45.7208846,0
289,15/10/2000,16.94444444,82.875,111,56,8,Friday,51.72345067,0
290,16/10/2000,8.888888889,81,122,59,14,Saturday,12.72345067,0
291,17/10/2000,11.94444444,72.25,121,57,13,Sunday,24.88225871,0
292,18/10/2000,9.722222222,79,117,57,6,Monday,4.813279288,0
293,19/10/2000,7.5,77.875,111,53,10,Tuesday,17.8224139,0
294,20/10/2000,2.777777778,85.625,114,56,3,Wednesday,15.25910132,0
295,21/10/2000,6.111111111,66.125,104,43,5,Thursday,18.78597005,0
296,22/10/2000,3.888888889,71.625,98,43,5,Friday,43.70984826,0
297,23/10/2000,3.611111111,90.375,139,66,16,Saturday,26.84375876,0
298,24/10/2000,5.555555556,65,126,65,6,Sunday,NA,0
299,25/10/2000,6.944444444,89.875,115,65,12,Monday,26.65504057,0
300,26/10/2000,6.944444444,84.375,119,61,8,Tuesday,24.70123537,0
301,27/10/2000,3.611111111,69.375,114,58,13,Wednesday,24.73317834,0
302,28/10/2000,6.944444444,74.375,123,63,13,Thursday,41.81843475,0
303,29/10/2000,12.5,67.25,125,62,7,Friday,50.59833789,0
304,30/10/2000,11.11111111,87.625,116,53,11,Saturday,53.83061424,0
305,31/10/2000,14.44444444,98,118,56,5,Sunday,23.82147962,0
306,01/11/2000,17.77777778,71.625,138,65,9,Monday,39.79799807,0
307,02/11/2000,18.88888889,52,98,46,5,Tuesday,NA,1
308,03/11/2000,13.61111111,50.75,114,51,11,Wednesday,40.81996756,0
309,04/11/2000,4.722222222,49,117,55,10,Thursday,23.59557194,0
310,05/11/2000,4.166666667,43.75,108,53,7,Friday,37.74482455,0
311,06/11/2000,7.5,45,109,49,7,Saturday,39.64107462,0
312,07/11/2000,9.722222222,85.5,121,66,9,Sunday,58.69309729,0
313,08/11/2000,1.666666667,55.5,109,39,6,Monday,10.72051656,0
314,09/11/2000,1.111111111,64.125,127,69,7,Tuesday,4.856663059,0
315,10/11/2000,1.666666667,57,143,73,10,Wednesday,28.25863073,0
316,11/11/2000,6.388888889,48,118,59,6,Thursday,39.60857389,0
317,12/11/2000,9.166666667,43.5,113,61,5,Friday,47.64359259,0
318,13/11/2000,8.333333333,53.5,125,61,8,Saturday,10.58824481,0
319,14/11/2000,10.27777778,35.375,108,48,7,Sunday,43.64749499,0
320,15/11/2000,13.33333333,95.5,100,51,10,Monday,26.71174077,1
321,16/11/2000,10,75.625,112,51,5,Tuesday,16.53619376,0
322,17/11/2000,3.333333333,75.625,106,53,6,Wednesday,NA,0
323,18/11/2000,3.055555556,57,128,65,10,Thursday,20.62110609,0
324,19/11/2000,-2.5,52.875,128,54,11,Friday,26.72176464,0
325,20/11/2000,-3.611111111,45.125,121,63,5,Saturday,19.74299502,0
326,21/11/2000,5.555555556,47.5,128,66,11,Sunday,NA,0
327,22/11/2000,6.388888889,79.75,127,66,6,Monday,28.18641908,0
328,23/11/2000,4.166666667,91.5,113,54,8,Tuesday,44.72495704,0
329,24/11/2000,4.444444444,89.375,117,53,10,Wednesday,2.733976032,0
330,25/11/2000,4.444444444,80.875,114,58,7,Thursday,7.672425696,0
331,26/11/2000,4.722222222,94.875,117,55,5,Friday,NA,0
332,27/11/2000,8.333333333,90.375,115,56,11,Saturday,NA,0
333,28/11/2000,3.888888889,94.875,103,55,6,Sunday,9.803667342,0
334,29/11/2000,2.777777778,99,101,59,5,Monday,NA,0
335,30/11/2000,0,76.375,134,68,9,Tuesday,20.26116041,0
336,01/12/2000,-1.111111111,81.5,93,47,3,Wednesday,14.95743317,0
337,02/12/2000,-0.833333333,86,116,57,8,Thursday,21.9762901,0
338,03/12/2000,-2.777777778,79,128,73,5,Friday,27.02755994,0
339,04/12/2000,-2.777777778,81.875,109,42,6,Saturday,22.64840802,0
340,05/12/2000,-0.277777778,79.125,142,80,11,Sunday,14.01549645,0
341,06/12/2000,3.611111111,84.5,124,68,6,Monday,17.02584071,0
342,07/12/2000,8.055555556,94.625,112,57,8,Tuesday,19.73872301,0
343,08/12/2000,9.722222222,77.625,116,52,12,Wednesday,12.63422079,0
344,09/12/2000,3.333333333,87.375,136,70,7,Thursday,23.65514782,0
345,10/12/2000,5,71.25,138,59,8,Friday,21.37047626,0
346,11/12/2000,1.666666667,69.875,136,60,11,Saturday,20.67639381,0
347,12/12/2000,-0.277777778,77,108,56,6,Sunday,25.74620213,0
348,13/12/2000,-1.111111111,74.625,125,55,8,Monday,34.69903253,0
349,14/12/2000,-0.555555556,78.75,140,83,15,Tuesday,10.79898709,0
350,15/12/2000,-2.5,66.25,149,70,11,Wednesday,27.70186249,0
351,16/12/2000,-6.388888889,72,118,60,8,Thursday,24.69386395,0
352,17/12/2000,-5,89.125,131,67,10,Friday,27.93253342,0
353,18/12/2000,1.111111111,98,111,58,13,Saturday,11.95706145,0
354,19/12/2000,1.111111111,65.75,130,75,10,Sunday,16.98637675,0
355,20/12/2000,0.555555556,67.375,125,65,10,Monday,NA,0
356,21/12/2000,1.666666667,83.5,121,53,10,Tuesday,NA,0
357,22/12/2000,1.944444444,77.125,144,73,11,Wednesday,33.44086868,0
358,23/12/2000,5,93.625,126,57,12,Thursday,NA,0
359,24/12/2000,0.555555556,77.75,124,65,9,Friday,7.979277582,0
360,25/12/2000,-2.5,85.375,119,69,11,Saturday,NA,1
361,26/12/2000,-1.666666667,75.25,116,62,6,Sunday,36.96088658,0
362,27/12/2000,0.833333333,90.125,156,80,11,Monday,NA,0
363,28/12/2000,-4.166666667,81.875,112,47,12,Tuesday,17.82006725,0
364,29/12/2000,-3.611111111,84.375,116,62,16,Wednesday,NA,0
365,30/12/2000,-4.722222222,70.875,148,79,14,Thursday,13.11419173,0
366,31/12/2000,-15.83333333,68.625,108,42,16,Friday,NA,0
367,01/01/2001,-9.444444444,67.75,124,51,12,Saturday,NA,1
368,02/01/2001,-4.166666667,75.375,138,69,5,Sunday,17.15764944,0
369,03/01/2001,-15,60.625,132,74,4,Monday,21.59915536,0
370,04/01/2001,-21.38888889,60.625,112,57,10,Tuesday,16.10212996,0
371,05/01/2001,-20.83333333,63.625,131,53,12,Wednesday,66.87741681,0
372,06/01/2001,-16.11111111,70.625,140,75,10,Thursday,65.66591014,0
373,07/01/2001,-13.05555556,75.125,123,68,7,Friday,78.62221075,0
374,08/01/2001,-17.5,64.5,126,73,8,Saturday,39.4623402,0
